---,DataID,CharacterName,Description,Grade,AttackType,ClassType,HPMultiplier,AttackMultiplier,DefenseMultiplier,CharacterTexture,SkillIDs,CharacterMesh,AnimBlueprintClass,DeathMontage,NormalAttackMontage,BehaviorTree,SummonCost,SummonCooldown,PortraitIcon,MemberAbilities,PlayerBasicAttackAbility,HitMontage,PlayerScale,MemberScale,MemberWeaponID,PortraitFrame
27,Hermit_SR,Hermit,"NSLOCTEXT(""DT"", ""Hermit_SR"", ""?덈컠 SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hermit.Icon_Hermit,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hermit/SKM_Hermit_Base.SKM_Hermit_Base,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/ABP_Hermit.ABP_Hermit_C,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Dead_Anim_Hermit_Dead_Montage.Hermit_Base_Dead_Anim_Hermit_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_ChargeAttack_Anim_Take_001_Montage.Hermit_Base_ChargeAttack_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C',/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Damage_Anim_Hermit_Attacked_Montage.Hermit_Base_Damage_Anim_Hermit_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
28,Hermit_SSR,Hermit,"NSLOCTEXT(""DT"", ""Hermit_SSR"", ""?덈컠 SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hermit.Icon_Hermit,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hermit/SKM_Hermit_Base.SKM_Hermit_Base,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/ABP_Hermit.ABP_Hermit_C,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Dead_Anim_Hermit_Dead_Montage.Hermit_Base_Dead_Anim_Hermit_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_ChargeAttack_Anim_Take_001_Montage.Hermit_Base_ChargeAttack_Anim_Take_001_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hermit.GA_Attack_Hermit_C',/Game/Blueprint/PlayerCharacter/ABP/09_Hermit/Hermit_Base_Damage_Anim_Hermit_Attacked_Montage.Hermit_Base_Damage_Anim_Hermit_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
29,Hornet_N,Hornet,"NSLOCTEXT(""DT"", ""Hornet_N"", ""?몃꽬 N?깃툒"")",N,RANGED,MAGICIAN,0.8,1.3,0.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hornet.Icon_Hornet,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hornet/SKM_Hornet_Base.SKM_Hornet_Base,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/ABP_Hornet.ABP_Hornet_C,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Dead_Montage.Hornet_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_ChargeAttack_Montage.Hornet_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C',/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Damage_Montage.Hornet_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
30,Hornet_R,Hornet,"NSLOCTEXT(""DT"", ""Hornet_R"", ""?몃꽬 R?깃툒"")",R,RANGED,MAGICIAN,1.1,1.8,1.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hornet.Icon_Hornet,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hornet/SKM_Hornet_Base.SKM_Hornet_Base,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/ABP_Hornet.ABP_Hornet_C,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Dead_Montage.Hornet_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_ChargeAttack_Montage.Hornet_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C',/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Damage_Montage.Hornet_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
31,Hornet_SR,Hornet,"NSLOCTEXT(""DT"", ""Hornet_SR"", ""?몃꽬 SR?깃툒"")",SR,RANGED,MAGICIAN,1.6,2.7,1.6,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hornet.Icon_Hornet,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hornet/SKM_Hornet_Base.SKM_Hornet_Base,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/ABP_Hornet.ABP_Hornet_C,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Dead_Montage.Hornet_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_ChargeAttack_Montage.Hornet_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C',/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Damage_Montage.Hornet_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
32,Hornet_SSR,Hornet,"NSLOCTEXT(""DT"", ""Hornet_SSR"", ""?몃꽬 SSR?깃툒"")",SSR,RANGED,MAGICIAN,2.5,4.1,2.5,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Hornet.Icon_Hornet,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Hornet/SKM_Hornet_Base.SKM_Hornet_Base,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/ABP_Hornet.ABP_Hornet_C,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Dead_Montage.Hornet_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_ChargeAttack_Montage.Hornet_Base_ChargeAttack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hornet.Icon_Hornet,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Hornet.GA_Attack_Hornet_C',/Game/Blueprint/PlayerCharacter/ABP/10_Hornet/Hornet_Base_Damage_Montage.Hornet_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
33,Looter_N,Looter,"NSLOCTEXT(""DT"", ""Looter_N"", ""猷⑦꽣 N?깃툒"")",N,MELEE,WARRIOR,1.3,0.8,1.3,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Looter.Icon_Looter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Looter/SKM_Looter_Base.SKM_Looter_Base,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/ABP_Looter.ABP_Looter_C,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Dead_Montage.Looter_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attack_Montage.Looter_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C',/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attacked_Montage.Looter_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
34,Looter_R,Looter,"NSLOCTEXT(""DT"", ""Looter_R"", ""猷⑦꽣 R?깃툒"")",R,MELEE,WARRIOR,1.8,1.1,1.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Looter.Icon_Looter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Looter/SKM_Looter_Base.SKM_Looter_Base,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/ABP_Looter.ABP_Looter_C,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Dead_Montage.Looter_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attack_Montage.Looter_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C',/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attacked_Montage.Looter_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
35,Looter_SR,Looter,"NSLOCTEXT(""DT"", ""Looter_SR"", ""猷⑦꽣 SR?깃툒"")",SR,MELEE,WARRIOR,2.7,1.6,2.7,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Looter.Icon_Looter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Looter/SKM_Looter_Base.SKM_Looter_Base,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/ABP_Looter.ABP_Looter_C,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Dead_Montage.Looter_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attack_Montage.Looter_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C',/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attacked_Montage.Looter_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
36,Looter_SSR,Looter,"NSLOCTEXT(""DT"", ""Looter_SSR"", ""猷⑦꽣 SSR?깃툒"")",SSR,MELEE,WARRIOR,4.1,2.5,4.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Looter.Icon_Looter,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Looter/SKM_Looter_Base.SKM_Looter_Base,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/ABP_Looter.ABP_Looter_C,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Dead_Montage.Looter_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attack_Montage.Looter_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Looter.Icon_Looter,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Looter.GA_Attack_Looter_C',/Game/Blueprint/PlayerCharacter/ABP/11_Looter/Looter_Base_Attacked_Montage.Looter_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
37,Maid_N,Maid,"NSLOCTEXT(""DT"", ""Maid_N"", ""硫붿씠??N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Maid.Icon_Maid,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Maid/SKM_Maid_Base.SKM_Maid_Base,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/ABP_Maid.ABP_Maid_C,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Dead_Montage.Maid_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attack_Montage.Maid_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C',/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attacked_Montage.Maid_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
38,Maid_R,Maid,"NSLOCTEXT(""DT"", ""Maid_R"", ""硫붿씠??R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Maid.Icon_Maid,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Maid/SKM_Maid_Base.SKM_Maid_Base,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/ABP_Maid.ABP_Maid_C,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Dead_Montage.Maid_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attack_Montage.Maid_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C',/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attacked_Montage.Maid_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
39,Maid_SR,Maid,"NSLOCTEXT(""DT"", ""Maid_SR"", ""硫붿씠??SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Maid.Icon_Maid,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Maid/SKM_Maid_Base.SKM_Maid_Base,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/ABP_Maid.ABP_Maid_C,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Dead_Montage.Maid_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attack_Montage.Maid_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C',/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attacked_Montage.Maid_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
40,Maid_SSR,Maid,"NSLOCTEXT(""DT"", ""Maid_SSR"", ""硫붿씠??SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Maid.Icon_Maid,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Maid/SKM_Maid_Base.SKM_Maid_Base,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/ABP_Maid.ABP_Maid_C,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Dead_Montage.Maid_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attack_Montage.Maid_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Maid.Icon_Maid,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Maid.GA_Attack_Maid_C',/Game/Blueprint/PlayerCharacter/ABP/12_Maid/Maid_Base_Attacked_Montage.Maid_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
41,Merry_N,Merry,"NSLOCTEXT(""DT"", ""Merry_N"", ""硫붾━ N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Merry.Icon_Merry,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Merry/SKM_Merry_Base.SKM_Merry_Base,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/ABP_Merry.ABP_Merry_C,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Dead_Montage.Merry_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Attack1_Montage.Merry_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C',/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Damage_Montage.Merry_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
42,Merry_R,Merry,"NSLOCTEXT(""DT"", ""Merry_R"", ""硫붾━ R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Merry.Icon_Merry,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Merry/SKM_Merry_Base.SKM_Merry_Base,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/ABP_Merry.ABP_Merry_C,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Dead_Montage.Merry_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Attack1_Montage.Merry_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C',/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Damage_Montage.Merry_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
43,Merry_SR,Merry,"NSLOCTEXT(""DT"", ""Merry_SR"", ""硫붾━ SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Merry.Icon_Merry,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Merry/SKM_Merry_Base.SKM_Merry_Base,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/ABP_Merry.ABP_Merry_C,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Dead_Montage.Merry_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Attack1_Montage.Merry_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C',/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Damage_Montage.Merry_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
